Id	CertificationBody	CertificationAddress	CertificationContact
1	Brazil Specialty Coffee Association	Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil	Chris Allen - 55 35 3212-4705
2	METAD Agricultural Development plc	BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia	Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196
3	Specialty Coffee Association	117 W 4th St, Suite 300 Santa Ana, CA 92701	Sheila Magno - 562-999-3164
4	Instituto Hondureño del Café	Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes	Ramon Reyes - + 504 9693-9042
5	Uganda Coffee Development Authority	Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda	Clare Rwakatogoro - 256-41-256940/233073
6	NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)	Bahnhofstrasse 22	Gloria Pedroza - +41417287296
7	Centro Agroecológico del Café A.C.	Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.	Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092
8	Kenya Coffee Traders Association	P.O. Box 646 00100Nairobi, Kenya	Benson Kibicho Kamau - +254 786 821 621
9	Specialty Coffee Association of Costa Rica	Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21	Noelia Villalobos - (506) 2220 0685
10	CQI Colombia SAS	Calle 120A No 3A - 47 - USAQUEN	Ana Maria Duque - 3219384156
11	Japan Coffee Exchange	〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN	松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
12	Asociacion Nacional Del Café	5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014	Brayan Cifuentes -
13	Specialty Coffee Association of Indonesia	Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl. Harsono RM No. 3, Ragunan, South Jakarta, Jakarta	Mahardini Farizki - 081284251303 / 085780031543
14	Blossom Valley International宸嶧國際	No.72 Mo-Fan St. Taiwan Zip: 403	Damon Chen陳嘉峻 - +886423022323
15	Asociación de Cafés Especiales de Nicaragua	Del Hotel Seminole 2 C al lago, 1 C arriba.	Damaris Gutierrez Ramirez - 011-(505)-8889 6872‬
16	Salvadoran Coffee Council	Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG	Tomas Bonilla - (503) 2505-6600
17	Asociación Mexicana De Cafés y Cafeterías De Especialidad	Liverpool 91 Col. Juárez	ING. Arturo Hernández Fujigaki - +52 (55) 56984710
