Id	FarmName	CountryOfOrigin	Mill	Company	Region
1		Costa Rica	Dosmil	Beneficios Volcafé Costa Rica	
2	Agua Caliente	El Salvador	Beneficio Agua Caliente	Consejo Salvadoreño Del Café	Apaneca - Ilamatepec
3	Aldea Global	Nicaragua	Aldea Coffee	Asociación Aldea Global Jinotega	Matagalpa
4	Apollo Estate	Vietnam	Dry Mill	Sunvirtue Co., Ltd.	Dalat
5	Ayalza	Guatemala	Export Cafe	Tokyo Allied Coffee Roasters Co.,Ltd.	Ayalza
6	Bcu	Uganda	Dry Mill	Kozzy Kare Assisted Living , Llc	Uganda
7	Bella Vista	Colombia	La Sabana	Carcafe Ltda	Pacho-Cundinamarca
8	Beneficio El Torreon	Guatemala	Beneficio Ixchel	Unex (Guatemala), S. A.	Oriente
9	Beneficio Montañas Del Diamante	Costa Rica	Beneficio Montañas Del Diamante	Ceca,S.A.	Tarrazú
10	Cachoeira Da Grama Farm	Brazil	Dry Mill	Bourbon Specialty Coffees	Grama Valley
11	Cafebras Comercio De Café	Brazil	Dry Mill	Cafebras Comércio De Cafes Do Brasil	Cerrado Mineiro
12	Cafetales Santa Matilde	Nicaragua	Beneficio San Carlos	Comercial Internacional Exportadora, S.A.	Jinotega
13	Chácara Vista Alegre	Brazil	Cereja Descascado	Nestlé Brasil S/A	Chapada Diamantina
14	Cooperative Kota	Ethiopia	Dry Mill	Ec Successfood Sàrl	Jimma
15	Does Not Apply	Mexico	Beneficio Seco Dos Rios	Agroindustrias Unidas De Mexico Sa De Cv	Coatepec, Veracruz
16	Doi Tung Development Project	Thailand	Dry Mill	Doi Tung Development Project	Thailand
17	El Ejido	Honduras	Desculpado, Lavado Y Secado En Secadoras Solares	Coffee Planet Corporation S.A	Copan
18	El Prado	Colombia	Neiva	Carcafe Ltda	Huila
19	Erandora Farms	Papua New Guinea	Aionora Factory	Erandora Coffee	Eastern Highlands
20	Exportadora Atlantic S.A	Nicaragua	Dry Mill	Exportadora Atlantic S.A	Nueva Segovia
21	Fazenda Baú I	Brazil	Natural	Nestlé Brasil S/A	Mogiana
22	Fazenda Harmonia	Brazil	Cereja Descascado	Nestlé Brasil S/A	Norte Pioneiro Do Paraná
23	Fazenda Horizonte	Brazil	Cereja Descascado	Nestlé Brasil S/A	Chapada Diamantina
24	Fazenda Jardim Das Oliveiras	Brazil	Cereja Descascado	Nestlé Brasil S/A	Matas De Minas
25	Fazenda Orletti	Brazil	Cereja Descascado	Nestlé Brasil S/A	Conilon Capixaba
26	Fazenda Pilar	Brazil	Cereja Descascado	Nestlé Brasil S/A	Norte Pioneiro Do Paraná
27	Fazenda Santa Rita Do Morro Grande	Brazil	Natural	Nestlé Brasil S/A	Mogiana
28	Fazenda Serra Do São Bento	Brazil	Cereja Descascado	Nestlé Brasil S/A	Matas De Minas
29	Fazenda São Bento	Brazil	Cereja Descascado	Nestlé Brasil S/A	Conilon Capixaba
30	Fazenda Venturim	Brazil	Cereja Descascado	Nestlé Brasil S/A	Conilon Capixaba
31	Fazenda Édio Miranda	Brazil	Cereja Descascado	Nestlé Brasil S/A	Matas De Minas
32	Finca Aurora	Guatemala	Finca Aurora	Cepa Centroamerica, S. A.	Cobán Alta Verapaz
33	Finca Custepec	Mexico	Finca Custepec	Exportadora Café California	Chiapas
